Acle,ACL
Angel Road,AGR
Attleborough,ATL
Audley End,AUD
Battlesbridge,BLB
Beccles,BCC
Berney Arms,BYA
Billericay,BIC
Bishops Stortford,BIS
Braintree,BTR
Braintree Freeport,BTP
Brandon,BND
Brimsdown,BMD
Broxbourne,BXB
Brundall,BDA
Brundall Gardens,BGA
Bures,BUE
Bury St Edmunds,BSE
Cambridge,CBG
Cantley,CNY
Chelmsford,CHM
Cheshunt,CHN
Colchester,COL
Colchester Town,CET
Cromer,CMR
Darsham,DSM
Diss,DIS
Dovercourt,DVC
Downham Market,DOW
Dullingham,DUL
Eccles Road,ECS
Elmswell,ESW
Ely,ELY
Enfield Lock,ENL
Felixstowe,FLX
Great Bentley,GRB
Great Chesterford,GRC
Great Yarmouth,GYM
Gunton,GNT
Haddiscoe,HAD
Halesworth,HAS
Harling Road,HRD
Harlow Mill,HWM
Harlow Town,HWN
Harwich International,HPQ
Harwich Town,HWC
Hatfield Peverel,HAP
Hertford East,HFE
Hockley,HOC
Ingatestone,INT
Ipswich,IPS
Kelvedon,KEL
Kennett,KNE
Kings Lynn,KLN
Kirby Cross,KBX
Lakenheath,LAK
Lea Bridge,LEB
Lingwood,LGD
Littleport,LTP
London Liverpool Street,LST
Lowestoft,LWT
Manea,MNE
Manningtree,MNG
March,MCH
Marks Tey,MKT
Mistley,MIS
Needham Market,NMT
Newmarket,NMK
North Fambridge,NFA
North Walsham,NWA
Northumberland Park,NUM
Norwich,NRW
Oulton Broad North,OUN
Oulton Broad South,OUS
Peterborough,PBO
Ponders End,PON
Prittlewell,PRL
Rayleigh,RLG
Rochford,RFD
Roughton Road,RNR
Roydon,RYN
Rye House,RYH
Salhouse,SAH
Sawbridgeworth,SAW
Saxmundham,SAX
Shenfield,SNF
Sheringham,SHM
Shippea Hill,SPP
Somerleyton,SYT
South Woodham Ferrers,SOF
Southend Airport,SIA
Southend Victoria,SOV
Southminster,SMN
Spooner Row,SPN
Stansted Airport,SSD
Stansted Mountfitchet,SST
Stowmarket,SMK
Thetford,TTF
Thurston,TRS
Tottenham Hale,TOM
Trimley,TRM
Waltham Cross,WLC
Waterbeach,WBC
Watlington,WTG
Weeley,WEE
West Runton,WRN
Westerfield,WFI
White Notley,WNY
Whittlesea,WLE
Whittlesford Parkway,WLF
Wickford,WIC
Wickham Market,WCM
Witham,WTM
Wivenhoe,WIV
Woodbridge,WDB
Worstead,WRT
Wrabness,WRB
Wymondham,WMD
